id,title,agency,deadline,golongan,jenis_pengadaan,bidang_usaha,status,source_url,page_found
11,NDS-10129261 Subsea Landing String Services,ENI MUARA BAKAU B.V.,06 Feb 2026,Besar,Jasa,AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,2
12,"SPHR01141C-Jasa-Jasa Pengangkatan, Pengangkutan dan Pengolahan Limbah B3 oleh Fasilitas Pihak Ketiga",PT PERTAMINA HULU ROKAN,04 Feb 2026,Besar Menengah Kecil,Jasa,TREATMENT DAN PEMBUANGAN LIMBAH BERBAHAYA (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS REMEDIASI DAN PENGELOLAAN LIMBAH DAN SAMPAH LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,2
13,NDS-10128801 Provision of Mud Logging Services for KNH and GeGa,ENI MUARA BAKAU B.V.,06 Feb 2026,Besar,Jasa,AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,3
14,[PHKT] Prakualifikasi No. SX16000055A-Jasa Penanggulangan Kebakaran dan Tanggap Darurat,PT PERTAMINA HULU MAHAKAM,04 Feb 2026,Besar Menengah,Jasa,AKTIVITAS PENYEDIAAN TENAGA KERJA WAKTU TERTENTU (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020); PENYEDIAAN SUMBER DAYA MANUSIA DAN MANAJEMEN FUNGSI SUMBER DAYA MANUSIA (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,3
15,COO Pekerjaan Jasa Penyediaan Media Safety Campaign di PT Pertamina EP Zona 1 Jambi Field,PT PERTAMINA HULU ROKAN,03 Feb 2026,Kecil,Jasa,"AKTIVITAS PENERBITAN BUKU, MAJALAH DAN TERBITAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN BESAR BARANG PERCETAKAN DAN PENERBITAN DALAM BERBAGAI BENTUK (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN BESAR BERBAGAI MACAM BARANG (SIUP-IUT-IUI-PROP KBLI 2020);",Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,3
16,JASA PENYEWAAN WELLHEAD COMPRESSOR SECARA CALL OF ORDER (COO) SELAMA 3 (TIGA) TAHUN DI PT. PERTAMINA,PT PERTAMINA HULU ROKAN,03 Feb 2026,Besar Menengah,Jasa,AKTIVITAS PENYEWAAN DAN SEWA GUNA TANPA HAK OPSI MESIN PERTAMBANGAN DAN ENERGI SERTA PERALATANNYA (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,3
17,Prakualifikasi No. GX14059655A : Pengadaan Power Converter,PT PERTAMINA HULU MAHAKAM,03 Feb 2026,Kecil,Barang,"PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020);",Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,3
18,JASA WELLBORE CLEANOUT SERVICES FOR PT PERTAMINA EP ZONA 7,PT PERTAMINA EP,03 Feb 2026,Besar Menengah Kecil,Jasa,AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,3
19,BG79308 : CRUSHED ROCK 2/3 CM,PT MEDCO E&P INDONESIA,05 Feb 2026,Kecil,Barang,"PENGGALIAN BATU, PASIR DAN TANAH LIAT LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); PERTAMBANGAN DAN PENGGALIAN LAINNYA YTDL (SIUP-IUT-IUI-PROP KBLI 2020);",Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,4
20,CM78744 : CALL OFF ORDER COATED LINEPIPE JR-38A,PT MEDCO E&P INDONESIA,04 Feb 2026,Besar Menengah Kecil,Barang,INDUSTRI PIPA DAN SAMBUNGAN PIPA DARI BAJA DAN BESI (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,4
21,Jasa Pekerjaan Studi Update FEED Pembangunan Central Processing Facilities (CPF) Lapangan Bangkuduli,PT PERTAMINA HULU MAHAKAM,04 Feb 2026,Besar Menengah Kecil,Jasa,AKTIVITAS ARSITEKTUR DAN KEINSINYURAN SERTA KONSULTASI TEKNIS YBDI (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,4
22,BS78609 : Ball Valve,PT MEDCO E&P INDONESIA,05 Feb 2026,Besar Menengah Kecil,Barang,"INDUSTRI POMPA LAINNYA, KOMPRESOR, KRAN DAN KLEP/KATUP (SIUP-IUT-IUI-PROP KBLI 2020);",Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,4
23,PEMELIHARAAN GAS COMPRESSOR DRESSER-RAND 6MOS4 SECARA CALL OF ORDER (COO) DI SKG-8 MUSI TIMUR PT PER,PT PERTAMINA HULU ROKAN,03 Feb 2026,Besar Menengah,Jasa,REPARASI MESIN UNTUK KEPERLUAN UMUM (SIUP-IUT-IUI-PROP KBLI 2020); REPARASI MESIN UNTUK KEPERLUAN KHUSUS (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,4
24,JASA LAYANAN PERBANTUAN PENGAWASAN DAN IMPLEMENTASI ASPEK SMHSSE DI LAPANGAN PERTAMINA EP LIRIK SELA,PT PERTAMINA HULU ROKAN,04 Feb 2026,Kecil,Jasa,AKTIVITAS PENYEDIAAN TENAGA KERJA WAKTU TERTENTU (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,4
25,ENVIRONMENT EQUIPMENT,PETROCHINA INTERNATIONAL JABUNG LTD.,04 Feb 2026,Kecil,Barang,"PERDAGANGAN ECERAN BERBAGAI MACAM BARANG YANG UTAMANYA BUKAN MAKANAN, MINUMAN ATAU TEMBAKAU (BARANG-BARANG KELONTONG) BUKAN DI TOSERBA (DEPARTMENT STORE) (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN BESAR BERBAGAI MACAM BARANG (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN ECERAN BERBAGAI MACAM BARANG YANG UTAMANYA BUKAN MAKANAN, MINUMAN ATAU TEMBAKAU DI TOSERBA (DEPARTMENT STORE) (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN BESAR BERBAGAI MACAM BARANG (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN ECERAN BERBAGAI MACAM BARANG DI TOKO (SIUP-IUT-IUI-PROP KBLI 2020);",Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,5
26,CUTTING GRASS MACHINE,PETROCHINA INTERNATIONAL JABUNG LTD.,04 Feb 2026,Kecil,Barang,"PERDAGANGAN ECERAN MESIN PERTANIAN DAN PERLENGKAPANNYA (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN PERTANIAN (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPANNYA (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN ECERAN BUKAN DI TOKO, KIOS, KAKI LIMA DAN LOS PASAR LAINNYA YTDL (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN ECERAN ALAT-ALAT PERTANIAN (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN BESAR BERBAGAI MACAM BARANG (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN ECERAN MESIN LAINNYA DAN PERLENGKAPANNYA (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN ECERAN BERBAGAI MACAM BARANG DI TOKO (SIUP-IUT-IUI-PROP KBLI 2020);",Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,5
27,Provision of Land Drilling Rig Min. 1500 HP and Services,Texcal Energy Mahato Inc.,03 Feb 2026,Besar,Jasa,AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,5
28,KONTRAK KERJA SAMA PENGOPERASIAN DAN PERBAIKAN POMPA LISTRIK BAWAH TANAH (ESPS ALLIANCE),PT PERTAMINA HULU ROKAN,02 Feb 2026,Besar Menengah,Jasa,AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020); REPARASI MESIN UNTUK KEPERLUAN KHUSUS (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,5
29,"PRODCHEM INHIBITOR ""NALCO""",PETROCHINA INTERNATIONAL JABUNG LTD.,02 Feb 2026,Kecil,Barang,"PERDAGANGAN ECERAN KAKI LIMA DAN LOS PASAR BAHAN KIMIA, FARMASI, KOSMETIK DAN YBDI (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN ECERAN BAHAN KIMIA (SIUP-IUT-IUI-PROP KBLI 2020); INDUSTRI KIMIA DASAR ORGANIK LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020);",Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,5
30,Jasa Penyediaan Sewa dan Jasa-Jasa Huff & Puff Steam Generator,EMP BENTU LIMITED,02 Feb 2026,Besar Menengah,Barang dan Jasa,"INSTALASI SISTEM KELISTRIKAN, AIR (PIPA) DAN INSTALASI KONSTRUKSI LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);",Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,5
31,PENGADAAN INSTRUMENT AIR PACKAGE GAS LOUISE-NONNYMUARA- TANJUNG UNA,PT PERTAMINA HULU MAHAKAM,03 Feb 2026,Besar Menengah Kecil,Barang,"PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); INDUSTRI MESIN UNTUK KEPERLUAN UMUM LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); INDUSTRI POMPA LAINNYA, KOMPRESOR, KRAN DAN KLEP/KATUP (SIUP-IUT-IUI-PROP KBLI 2020);",Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,6
32,JASA PENGAWASAN ASPEK HSSE OPERASIONAL SUMURAN DI PT.PERTAMINA EP ZONA 4,PT PERTAMINA HULU ROKAN,02 Feb 2026,Menengah,Jasa,AKTIVITAS KONSULTASI MANAJEMEN (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS PENYEDIAAN TENAGA KERJA WAKTU TERTENTU (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,6
33,BS79100 : Tubing 3-1/2 L80 for Tarakan,PT MEDCO E&P INDONESIA,02 Feb 2026,Besar Menengah Kecil,Barang,INDUSTRI PIPA DAN SAMBUNGAN PIPA DARI BAJA DAN BESI (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,6
34,JASA PENYEWAAN RIG WORKOVER DAN WELLSERVICES DENGAN KAPASITAS MINIMUM 350HP DI PT PERTAMINA EP Z-10,PT PERTAMINA HULU KALIMANTAN TIMUR,03 Feb 2026,Besar Menengah,Jasa,AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,6
35,WS1960597059 - Provision of Clamp On Meter Rental Services,EXXONMOBIL CEPU LTD.,02 Feb 2026,Menengah Kecil,Jasa,"AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI MESIN, PERALATAN DAN BARANG BERWUJUD LAINNYA YTDL (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS PENYEWAAN DAN SEWA GUNA USAHA TANPA HAK OPSI MESIN DAN PERALATAN INDUSTRI PENGOLAHAN (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS PENYEWAAN DAN SEWA GUNA TANPA HAK OPSI MESIN PERTAMBANGAN DAN ENERGI SERTA PERALATANNYA (SIUP-IUT-IUI-PROP KBLI 2020);",Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,6
36,Provision of Electrochlorination Package,Prima Energy Northwest Natuna Pte. Ltd.,03 Mar 2026,Besar,Barang,"PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); PERDAGANGAN BESAR BERBAGAI MACAM BARANG (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020);",Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,6
37,Implementation of Computerized Maintenance Management System (CMMS),GENTING OIL KASURI PTE. LTD.,03 Feb 2026,Besar Menengah Kecil,Jasa,AKTIVITAS PEMROGRAMAN KOMPUTER LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS KONSULTASI KOMPUTER DAN MANAJEMEN FASILITAS KOMPUTER LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); AKTIVITAS TEKNOLOGI INFORMASI DAN JASA KOMPUTER LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,7
38,PENGADAAN MATERIAL ELBOW SECARA CALL OF ORDER SELAMA 3 TAHUN PT PERTAMINA EP ZONA 7,PT PERTAMINA EP,02 Feb 2026,Besar Menengah Kecil,Barang,"PERDAGANGAN BESAR MESIN, PERALATAN DAN PERLENGKAPAN LAINNYA (SIUP-IUT-IUI-PROP KBLI 2020); INDUSTRI PIPA DAN SAMBUNGAN PIPA DARI BAJA DAN BESI (SIUP-IUT-IUI-PROP KBLI 2020);",Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,7
39,CM78552 : CALL-OFF MATERIALS FOR TELECOMMUNICATION & DATA INFRASTRUCTURE,PT MEDCO E&P INDONESIA,02 Feb 2026,Besar Menengah Kecil,Barang,PERDAGANGAN BESAR PERALATAN TELEKOMUNIKASI (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,7
40,PROVISION OF PSV 600 SQM SERVICES FOR DRILLING CAMPAIGN NDS-10125108-N,ENI MUARA BAKAU B.V.,04 Feb 2026,Besar,Jasa,ANGKUTAN LAUT DALAM NEGERI UNTUK BARANG UMUM (SIUP-IUT-IUI-PROP KBLI 2020); ANGKUTAN LAUT PERAIRAN PELABUHAN DALAM NEGERI UNTUK BARANG (SIUP-IUT-IUI-PROP KBLI 2020); ANGKUTAN LAUT DALAM NEGERI UNTUK BARANG KHUSUS (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,7
41,Prakualifikasi No. SX04057331A : Portable Coiled Tubing and Associated Services for Long Term,PT PERTAMINA HULU MAHAKAM,02 Feb 2026,Besar,Jasa,AKTIVITAS PENUNJANG PERTAMBANGAN MINYAK BUMI DAN GAS ALAM (SIUP-IUT-IUI-PROP KBLI 2020); PERTAMBANGAN MINYAK BUMI (SIUP-IUT-IUI-PROP KBLI 2020);,Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,7
42,Pengadaan 1 (satu) unit Kapal FSO/TST (Crude Oil Tanker),PT MGA Utama Energi,12 Feb 2026,Besar,Barang dan Jasa,"Construction, Transportation & Facility Equipment & Supplies (UNSPSC);",Undangan Prakualifikasi,https://civd.skkmigas.go.id/index.jwebs,7
